name,geo_location_lat,geo_location_lng,address,rating,type_of_the_attraction,place_id,local_phone_number,website,url
Jaffa Theatre,32.0547664,34.7542271,"Tayelet Mifraz Shlomo St 10, Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJO1BozbhMHRURt8-yLxgrefQ,03-518-5563,http://www.arab-hebrew-theatre.org.il/,https://maps.google.com/?cid=17616158800315862967
Habima Theatre,32.0725869,34.7789714,"Tarsat Ave 2, Tel Aviv-Yafo, Israel",4.5,"[point_of_interest, establishment]",ChIJE5WB74FLHRURMK_Pwxmtn-s,03-629-5555,https://www.habima.co.il/,https://maps.google.com/?cid=16978479446381014832
Gesher Theater,32.0560837,34.7602005,"Jerusalem Blvd 9, Tel Aviv-Yafo, Israel",4.6,"[point_of_interest, establishment]",ChIJ_Utvp71MHRURXEaMpPOZfws,03-515-7000,http://www.gesher-theatre.co.il/he/,https://maps.google.com/?cid=828550128176219740
Tzavta Theatre,32.0750452,34.7820122,"Shlomo Ibn Gabirol St 30, Yafo, Israel",4.1,"[point_of_interest, establishment]",ChIJ_w_RnYNLHRURvieQTvtl5nU,03-695-0156,http://www.tzavta.co.il/,https://maps.google.com/?cid=8495589877110286270
Tmu-na Theater,32.066355,34.787625,"Soncino St 8, Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJp69CAXdLHRURcCyLGNTlaQU,03-562-9462,http://www.tmu-na.org.il/,https://maps.google.com/?cid=390095541851860080
Theatre Club,32.0557966,34.7595244,"Jerusalem Blvd 10, Tel Aviv-Yafo, Israel",4.4,"[point_of_interest, establishment]",ChIJR_Xwsb1MHRURf73sYAmWVyk,03-518-4715,http://www.hateatron.co.il/,https://maps.google.com/?cid=2979014645553872255
Karov Theatre,32.0564932,34.7789222,"Levinsky 116, Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJIxr7p2ZLHRURUuSBF4QRy_I,03-688-5004,http://t-karov.co.il/,https://maps.google.com/?cid=17495096436478567506
Herzliya Municipal Theatre,32.166995,34.84244,"Ben Gurion Blvd 2, Herzliya, 4678502, Israel",4.2,"[point_of_interest, establishment]",ChIJ0eIHhAxIHRUR7lM-5QlW2fM,09-890-8000,https://business.google.com/u/9/edit/l/12512286428193987047?acct_rdr=1&pli=1,https://maps.google.com/?cid=17571170021663462382
Cameri Theater,32.0767494,34.7846172,"Sderot Sha'ul HaMelech 19, Tel Aviv-Yafo, Israel",4.4,"[point_of_interest, establishment]",ChIJF8dPS5tLHRURZA_VUPaQ-mE,03-606-0900,http://www.cameri.co.il/,https://maps.google.com/?cid=7060114753449168740
Malenki Theater,32.0650454,34.7879832,"IL 6721207, Yitshak Sadeh St 34, Tel Aviv-Yafo, Israel",4.7,"[point_of_interest, establishment]",ChIJ8fAU33ZLHRUR9rzUnVg6zcA,054-248-8104,http://www.malenki.co.il/,https://maps.google.com/?cid=13892824577787346166
